Individual,Trial,Predator,Board,Initial ,Total ,Temp. ,TimeScale,Treatment,Brightness.DifferencePercent,Brightness.Difference,EscapeResponse,ColourDiffPercent,ColourDiff,Pattern,Length,Size
46,1,P,U,10,12,22.8,2,PU,21.2387842,0.212387842,SLOW,6.9543158,0.069543158,4,148,14.8
46,2,N,U,27,30,21.5,2,NU,21.2387842,0.212387842,SLOW,6.9543158,0.069543158,4,148,14.8
46,3,P,H,45,47,19.9,2,PH,18.371179,0.18371179,SLOW,9.5679677,0.095679677,4,148,14.8
46,4,N,H,10,13,21.6,2,NH,18.371179,0.18371179,SLOW,9.5679677,0.095679677,4,148,14.8
48,1,P,U,57,62,20.3,2,PU,22.3456015,0.223456015,SLOW,9.9984711,0.099984711,2,273,27.3
48,2,N,U,12,14,22.6,2,NU,22.3456015,0.223456015,SLOW,9.9984711,0.099984711,2,273,27.3
48,3,P,H,15,18,22,2,PH,20.3743341,0.203743341,SLOW,35.4991223,0.354991223,2,273,27.3
48,4,N,H,31,35,22.9,2,NH,20.3743341,0.203743341,SLOW,35.4991223,0.354991223,2,273,27.3
49,1,P,U,10,12,21.6,2,PU,21.924448,0.21924448,SLOW,11.3103568,0.113103568,2,250,25
49,2,N,U,15,20,20.8,2,NU,21.924448,0.21924448,SLOW,11.3103568,0.113103568,2,250,25
49,3,P,H,15,28,22.9,2,PH,14.2220343,0.142220343,SLOW,28.8404912,0.288404912,2,250,25
49,4,N,H,18,22,20.4,2,NH,14.2220343,0.142220343,SLOW,28.8404912,0.288404912,2,250,25
50,1,P,U,37,46,21.2,2,PU,11.9755908,0.119755908,SLOW,16.6186205,0.166186205,5,141,14.1
50,2,N,U,20,22,21.6,2,NU,11.9755908,0.119755908,SLOW,16.6186205,0.166186205,5,141,14.1
50,3,P,H,23,25,20.5,2,PH,6.290987,0.06290987,SLOW,25.4327975,0.254327975,5,141,14.1
50,4,N,H,37,39,20.3,2,NH,6.290987,0.06290987,SLOW,25.4327975,0.254327975,5,141,14.1
51,1,P,U,189,198,20.1,2,PU,22.2027538,0.222027538,SLOW,7.370096,0.07370096,4,171,17.1
51,2,N,U,11,16,21.6,2,NU,22.2027538,0.222027538,SLOW,7.370096,0.07370096,4,171,17.1
51,3,P,H,50,57,21.6,2,PH,10.9345353,0.109345353,SLOW,17.5641308,0.175641308,4,171,17.1
51,4,N,H,18,24,24.5,2,NH,10.9345353,0.109345353,SLOW,17.5641308,0.175641308,4,171,17.1
53,1,P,U,10,13,20,2,PU,12.3290717,0.123290717,SLOW,23.0879132,0.230879132,3,160,16
53,2,N,U,32,35,21.8,2,NU,12.3290717,0.123290717,SLOW,23.0879132,0.230879132,3,160,16
53,3,P,H,8,11,21.2,1,PH,22.9672003,0.229672003,FAST,22.5769951,0.225769951,3,160,16
53,4,N,H,24,29,20.3,2,NH,22.9672003,0.229672003,SLOW,22.5769951,0.225769951,3,160,16
54,1,P,U,25,34,19.5,2,PU,4.1199734,0.041199734,SLOW,13.5782148,0.135782148,5,141,14.1
54,2,N,U,10,13,21.7,2,NU,4.1199734,0.041199734,SLOW,13.5782148,0.135782148,5,141,14.1
54,3,P,H,7,9,21.9,1,PH,14.8360105,0.148360105,FAST,10.4375281,0.104375281,5,141,14.1
54,4,N,H,19,21,23.6,2,NH,14.8360105,0.148360105,SLOW,10.4375281,0.104375281,5,141,14.1
56,1,P,U,11,13,21.2,2,PU,14.0466212,0.140466212,SLOW,32.3467038,0.323467038,4,109,10.9
56,2,N,U,13,16,21,2,NU,14.0466212,0.140466212,SLOW,32.3467038,0.323467038,4,109,10.9
56,3,P,H,0,0,20,3,PH,26.6645884,0.266645884,SLOW,15.0665411,0.150665411,4,109,10.9
